神器ID;挑战NPC;挑战等级;挑战成功后的成就;名字;NPC名字;升级经验
1;4270;40;挑战后羿;射日弓;后羿;1500|2000|2500|3000|4000|5000|6000|7000|8000|10000
2;4370;50;挑战嫦娥;伏羲琴;嫦娥;10000|12000|14000|16000|18000|18000|20000|20000|20000|20000
3;4470;60;;;;20000|20000|25000|25000|30000|30000|35000|35000|40000|40000
4;4570;70;;;;45000|45000|50000|50000|55000|55000|55000|60000|60000|60000
5;4670;80;;;;60000|60000|60000|60000|65000|65000|65000|70000|70000|70000
6;4770;90;;;;
7;;;;;;
8;;;;;;
9;;;;;;
10;;;;;;
11;;;;;;
12;;;;;;
13;;;;;;
14;;;;;;
15;;;;;;
16;;;;;;
17;;;;;;
18;;;;;;
