名仙ID;开启等级;符文编号;符文名称;Skill_ID;符文说明;类型1;数值1
1;0;0;;101;;;
1;2;1;坚韧;201;防护盾效果增强，受到的伤害降低<font color='#00FF00'>60%</font>。;;
1;5;2;霸体;301;受到横扫千军伤害的目标带有虚弱效果，下<font color='#00FF00'>1</font>次被攻击时受到的伤害加深<font color='#00FF00'>20%</font>。;;
2;0;0;;102;;;
2;2;1;坚韧;202;防护盾效果增强，受到的伤害降低<font color='#00FF00'>60%</font>。;;
2;5;2;霸体;302;受到横扫千军伤害的目标带有虚弱效果，下<font color='#00FF00'>1</font>次被攻击时受到的伤害加深<font color='#00FF00'>20%</font>。;;
3;0;0;;103;;;
3;2;1;必杀;203;激发更强的潜能，攻击力增加至<font color='#00FF00'>60%</font>。;;
3;5;2;鼓舞;303;鼓舞<font color='#00FF00'>1</font>名队友，使队友和自己下<font color='#00FF00'>1</font>次攻击时攻击力增加<font color='#00FF00'>20%</font>。;;
4;0;0;;104;;;
4;2;1;必杀;204;激发更强的潜能，攻击力增加至<font color='#00FF00'>60%</font>。;;
4;5;2;鼓舞;304;鼓舞<font color='#00FF00'>1</font>名队友，使队友和自己下<font color='#00FF00'>1</font>次攻击时攻击力增加<font color='#00FF00'>20%</font>。;;
5;0;0;;105;;;
5;2;1;惊雷;205;首要目标闪电威力加强，受到后续伤害加深至<font color='#00FF00'>40%</font>。;;
5;5;2;领域;305;使所有被闪电击中的目标受到惊雷效果，受到伤害加深<font color='#00FF00'>20%</font>。;;
6;0;0;;106;;;
6;2;1;惊雷;206;首要目标闪电威力加强，受到后续伤害加深至<font color='#00FF00'>40%</font>。;;
6;5;2;领域;306;使所有被闪电击中的目标受到惊雷效果，受到伤害加深<font color='#00FF00'>20%</font>。;;
11;0;0;;111;;;
11;2;1;警觉;211;延长护心镜持续时间，必定反击次数增加至<font color='#00FF00'>2</font>次。;;
11;5;2;复仇;311;增强护心镜效果，反击造成的伤害提升至<font color='#00FF00'>80%</font>。;;
12;0;0;;112;;;
12;2;1;迷惑;212;增强荷花香气的迷惑效果，使首要目标攻击力降低<font color='#00FF00'>40%</font>。;;
12;5;2;落花;312;扩大仙女散花范围，攻击力降低效果扩大至目标及身后区域。;;
13;0;0;;113;;;
13;2;1;重创;213;加强番天巨印能力，对首要目标伤害增加至<font color='#00FF00'>30%</font>。;;
13;5;2;遮天;313;扩大番天巨印溅射威力，巨印对所有目标伤害增加<font color='#00FF00'>15%</font>。;;
21;0;0;;121;;;
21;2;1;铁甲;221;吸入更多的罡风，防御提高至<font color='#00FF00'>5000</font>。;;
21;5;2;野蛮;321;发挥灭天三叉戟更强的神力，牛气冲天造成的伤害增加<font color='#00FF00'>20%</font>。;;
22;0;0;;122;;;
22;2;1;冥火;222;提升幽冥鬼火威力，冥火伤害加深<font color='#00FF00'>20%</font>。;;
22;5;2;灼烧;322;延长冥火伤害，持续时间延长至<font color='#00FF00'>3</font>回合。;;
23;0;0;;123;;;
23;2;1;缓兵;223;强加雷电的麻痹效果，使首要目标速度降低至<font color='#00FF00'>50%</font>。;;
