 ;力量;敏捷;体魄;生命;附加生命;附加生命百分比;攻击;附加攻击;附加攻击百分比;防御;速度;附加速度百分比;命中;闪躲;暴击;破击;反击;高爆;防破;高反;无视防御;伤害减少;仙攻;仙倍;仙破;初始蓄力点数;蓄力速度;力量到攻击加成;敏捷到速度加成;体魄到生命加成
1;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
62;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
63;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;
64;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;
65;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;
66;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;
67;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;
68;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;
69;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;
70;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;
81;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
82;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
83;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;
84;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;
85;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;
86;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;
87;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;
88;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;
89;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;
90;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;
101;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
102;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;
103;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;
104;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;
105;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;
106;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;
107;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;
108;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;
109;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;
110;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;
121;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
122;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;
123;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;
124;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;
125;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;
126;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;
127;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;
128;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;
129;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;
130;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;
