编号;掉落物品;绑定率;包类型(0-基础包 1-掉落包);备注
1;2001;0;0;初级经验丹
2;2002;0;0;中级经验丹
3;2003;0;0;高级经验丹
4;2007;0;0;初级鱼饵
5;2008;0;0;中级鱼饵
6;2009;0;0;高级鱼饵
7;2010;0;0;初级香炉
8;2011;0;0;中级香炉
9;2012;0;0;高级香炉
10;2004;0;0;初级悬赏令
11;2005;0;0;中级悬赏令
12;2006;0;0;高级悬赏令
13;2501;0;0;初级强化石
14;2502;0;0;中级强化石
15;2503;0;0;高级强化石
16;2504;0;0;特级强化石
17;2506;0;0;强化转移石
18;2505;0;0;强化保护符
19;2550;0;0;潜力提升丹
23;2201;0;0;小银币卡
24;2202;0;0;大银币卡
25;2203;0;0;大喇叭
26;2551;0;0;潜力保护符
27;501;0;0;黄魂原石
28;502;0;0;玄魂原石
29;503;0;0;地魂原石
30;504;0;0;天魂原石
31;2301;0;0;小黄鱼
32;2302;0;0;虾米
33;2303;0;0;桂鱼
34;2304;0;0;鲤鱼
35;2305;0;0;鲈鱼
36;2306;0;0;神仙鱼
37;2307;0;0;寿星龟
38;2308;0;0;珍珠蚌
39;2309;0;0;关公蟹
40;2310;0;0;北冥鲲
41;2311;0;0;碧波鲢
42;2321;0;0;胭脂鳊
43;2312;0;0;月光鳗
50;2013;0;0;经验仙果
51;1800;0;0;千年玄铁
61;3201;100%;0;新手礼包
62;3202;100%;0;20级礼包
63;3203;100%;0;30级礼包
64;3204;100%;0;40级礼包
65;3205;100%;0;50级礼包
66;3206;100%;0;60级礼包
67;3207;100%;0;70级礼包
68;3208;100%;0;80级礼包
69;3209;100%;0;90级礼包
70;3210;100%;0;100级礼包
71;3211;100%;0;110级礼包
72;3212;100%;0;120级礼包
73;3213;100%;0;130级礼包
74;3214;100%;0;140级礼包
75;3215;100%;0;150级礼包
76;3216;100%;0;160级礼包
77;3217;100%;0;170级礼包
78;3218;100%;0;180级礼包
79;3219;100%;0;190级礼包
80;3220;100%;0;200级礼包
;;;;
101;3101;0;0;寻仙玉牌-1（绿色）
102;3102;0;0;寻仙玉牌-2（蓝色）
103;3103;0;0;寻仙玉牌-3（紫色）
104;3104;0;0;寻仙玉牌-4（橙色）
105;;0;0;寻仙玉牌-5（*色）
221;10001,10002,10003,10004,10005,10006;0;0;新手装备
222;10021,10022,10023,10024,10025,10026;0;0;10装备
223;10051,10052,10053,10054,10055,10056;0;0;30装备
224;10081,10082,10083,10084,10085,10086;0;0;50装备
225;10111,10112,10113,10114,10115,10116;0;0;60装备
226;10141,10142,10143,10144,10145,10146;0;0;70装备
227;10171,10172,10173,10174,10175,10176;0;0;80装备
228;10201,10202,10203,10204,10205,10206;0;0;90装备
229;;0;0;100装备
230;;0;0;110装备
231;;0;0;120装备
232;;0;0;130装备
233;;0;0;140装备
234;;0;0;150装备
235;;0;0;160装备
236;;0;0;170装备
237;;0;0;180装备
238;;0;0;190装备
239;;0;0;200装备
258;9251;100%;0;1级经验元神
259;9252;100%;0;2级经验元神
260;9191,9201;0;0;绿色元神-10级
261;9191,9201,9231,9241;0;0;绿色元神-40级
262;9191,9201,9231,9241,9221;0;0;绿色元神-50级
263;9191,9201,9211,9231,9241,9221;0;0;绿色元神-70级
265;9111,9121;0;0;蓝色元神-10级
266;9111,9121,9151,9161;0;0;蓝色元神-40级
267;9111,9121,9151,9161,9131,9141,9171,9271;0;0;蓝色元神-50级
268;9111,9121,9151,9161,9131,9141,9171,9271;0;0;蓝色元神-70级
270;9001,9011,9071;0;0;紫色元神-10级
271;9001,9011,9071,9041,9051,9091,9001,9011,9071;0;0;紫色元神-40级
272;9001,9011,9071,9041,9051,9091,9031,9061,9021,9261,9001,9011,9071,9041,9051,9091;0;0;紫色元神-50级
273;9001,9011,9071,9041,9051,9091,9031,9061,9021,9261,9081,9101,9001,9011,9071,9041,9051,9091,9031,9061,9021,9261;0;0;紫色元神-70级
;;;;
301;2351;0;0;50装备碎片
302;2352;0;0;60装备碎片
303;2353;0;0;70装备碎片
304;2354;0;0;80装备碎片
305;2355;0;0;90装备碎片
306;2356;0;0;100装备碎片
307;2357;0;0;110装备碎片
308;2358;0;0;120装备碎片
309;2359;0;0;130装备碎片
310;2360;0;0;140装备碎片
311;2361;0;0;150装备碎片
312;2362;0;0;160装备碎片
313;2363;0;0;170装备碎片
314;2364;0;0;180装备碎片
315;2365;0;0;190装备碎片
316;2366;0;0;200装备碎片
;;;;
499;550,85%|551,12%|552,2.5%|553,1%;100%;1;绿色鱼饵奖励包
500;550,0%|551,87%|552,10%|553,3%;100%;1;蓝色鱼饵奖励包
501;550,0%|551,0%|552,91%|553,9%;100%;1;紫色鱼饵奖励包
502;550,0%|551,0%|552,0%|553,100%;100%;1;橙色鱼饵奖励包
503;6,20%|9,5%|12x2,60%|16,10%|18,5%;0%;1;活动奖励包A
504;5,20%|8,5%|11x2,60%|14,15%;0%;1;活动奖励包B
505;4,20%|5,5%|10,60%|13,10%|14,5%;0%;1;活动奖励包C
506;6,20%|9,5%|12,60%|16,10%|18,5%;0%;1;在线奖励A
507;5,20%|8,5%|11,60%|14,15%;0%;1;在线奖励B
508;4,20%|5,5%|10,60%|13,10%|14,5%;0%;1;在线奖励C
509;506,10%|507,25%|508,65%;100%;1;在线奖励【大包】
;;;;
510;503,100%;100%;1;boss战第一名奖励
511;504,100%;100%;1;boss战第二名奖励
512;504,100%;100%;1;boss战第三名奖励
513;505,100%;100%;1;boss战其他名次
514;504,50%|505,50%;100%;1;boss战第一个挑战
516;505,100%;100%;1;守卫唐僧第一名
517;505,100%;100%;1;守卫唐僧第二名
518;505,100%;100%;1;守卫唐僧第三名
519;503,100%;100%;1;守卫唐僧其他名次
520;504,100%;100%;1;守卫唐僧第一个挑战
526;503,100%;100%;1;开天斧排名1
527;503,100%;100%;1;开天斧排名2
528;503,100%;100%;1;开天斧排名3
529;504,100%;100%;1;开天斧排名4-10
530;504,100%;100%;1;开天斧排名11-100
531;505,100%;100%;1;开天斧排名101-500
532;505,100%;100%;1;开天斧排名500以后
540;503,15%|504,25%|505,60%;100%;1;家族寻宝
;;;;
550;31,50%|32,50%;100%;1;绿色-奖励包To鱼
551;34,60%|35,40%;100%;1;蓝色-奖励包To鱼
552;39,80%|37,20%;100%;1;紫色-奖励包To鱼
553;40,90%|42,10%;100%;1;橙色-奖励包To鱼
555;25002x10,1%|25002x5,10%|25003x1000,89%;100%;1;元神猎取boss1掉落（10）
556;25002x10,1%|25002x5,10%|25003x1000,89%;100%;1;元神猎取boss1掉落（40）
557;25002x10,1%|25002x5,10%|25003x1000,89%;100%;1;元神猎取boss1掉落（50）
558;25002x10,1%|25002x5,10%|25003x1000,89%;100%;1;元神猎取boss1掉落（70）
560;260;100%;1;元神猎取boss2掉落（10）
561;261;100%;1;元神猎取boss2掉落（40）
562;262;100%;1;元神猎取boss2掉落（50）
563;263;100%;1;元神猎取boss2掉落（70）
565;260,60%|265,40%;100%;1;元神猎取boss3掉落（10）
566;261,60%|266,40%;100%;1;元神猎取boss3掉落（40）
567;262,60%|267,40%;100%;1;元神猎取boss3掉落（50）
568;263,60%|268,40%;100%;1;元神猎取boss3掉落（70）
570;265,75%|270,25%;100%;1;元神猎取boss4掉落（10）
571;266,75%|271,25%;100%;1;元神猎取boss4掉落（40）
572;267,75%|272,25%;100%;1;元神猎取boss4掉落（50）
573;268,75%|273,25%;100%;1;元神猎取boss4掉落（70）
575;258,70%|270,10%|265,20%;0%;1;元宝召唤元神掉落（10）
576;258,70%|271,10%|266,20%;0%;1;元宝召唤元神掉落（40）
577;258,70%|272,10%|267,20%;0%;1;元宝召唤元神掉落（50）
578;258,70%|273,10%|268,20%;0%;1;元宝召唤元神掉落（70）
;;;;
640;13,68%|13x2,5%|14,25%|15,1.5%|16,0.5%;100%;1;普通挖矿
641;13x10,15%|14x2,15%|14x3,20%|15,45%|15x2,4%|16,1%;0%;1;元宝挖矿
;;;;
648;10,50%|4,30%|7,20%;100%;1;初级-消耗品（5|3|2）
649;11,50%|5,30%|7,20%;100%;1;中级-消耗品（5|3|2）
